locality_name,city,zone,metro_status,nearest_metro_station,tech_park_proximity,nearest_tech_park,tech_park_km_approx,nearest_metro_line,nearest_metro_km,metro_access_sample,metro_access_verified,metro_flag_agrees,nearest_metro_station_today,nearest_metro_km_today,tech_park_band,it_park_count_5km,nearest_rail_station,rail_station_km,airport_km,school_count_2km,hospital_count_2km,retail_count_2km,latitude,longitude,distance_to_cbd_km,geo_district,geo_state,n_listings_2022,first_posted_on,last_posted_on,geocode_confidence,geocode_match_name,geocode_feature_type,geocode_query,reference_year,metro_status_asof
"Dosti Ambrosia, Wadala East",Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,2.97,blue,9.65,yes,no,False,Dadar,1.88,0-3km,3,Dadar East,0.3,8.3,60,64,7,19.0158783,72.8550732,8.82,F/N Ward,Maharashtra,1,2022-06-09,2022-06-09,high,Wadala Village,place/neighbourhood,Wadala East,2022,2022-04-13
"Dosti Flamingo, Sewri",Mumbai,south,none,Ghatkopar L1,yes,Lower Parel Business District,2.52,blue,11.04,no,no,True,Dadar,2.93,0-3km,3,Sewri,0.29,9.91,23,36,0,19.001418,72.8542575,7.24,F/S Ward,Maharashtra,1,2022-06-29,2022-06-29,high,Sewri,place/suburb,Sewri,2022,2022-04-13
"Dr Babasaheb Ambedkar Road, Mumbai",Mumbai,south,under_construction,Asalpha,yes,Bandra Kurla Complex,1.4,blue,5.34,yes,no,False,Bandra Kurla Complex (BKC),1.65,0-3km,7,Chuna Bhatti,0.36,3.96,18,39,3,19.054999,72.8692035,13.4,,Maharashtra,1,2022-06-23,2022-06-23,medium,Mumbai,place/city,Mumbai,2022,2022-04-13
"Dreams Complex, Bhandup West",Mumbai,east,none,Saki Naka,yes,Godrej One Vikhroli,4.64,blue,6.78,no,no,True,Aarey JVLR,5.5,3-6km,6,Bhandup,0.55,9.73,20,42,4,19.1462636,72.9339461,25.29,S Ward,Maharashtra,1,2022-06-12,2022-06-12,high,Bhandup West,place/suburb,Bhandup West,2022,2022-04-13
"Dsk Madhuban, Sakinaka Junction",Mumbai,unknown,unknown,unknown,unknown,unknown,,unknown,,unknown,unknown,,unknown,,unknown,,unknown,,,,,,,,,,,1,2022-06-14,2022-06-14,none,,,,2022,2022-04-13
"Eco Residency, Andheri East",Mumbai,west,operational,Western Express Highway,yes,SEEPZ Andheri East,0.0,blue,0.23,yes,yes,True,Gundavali,0.18,0-3km,15,Andheri,0.92,3.0,36,92,5,19.1158835,72.854202,19.79,K/E Ward,Maharashtra,1,2022-07-09,2022-07-09,high,Andheri East,place/suburb,Andheri East,2022,2022-04-13
"Ekta Legranz, Chembur",Mumbai,east,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,3.65,blue,3.7,yes,no,False,Diamond Garden,0.53,3-6km,5,VNP & RC Marg Junction,0.46,5.39,32,81,13,19.054818,72.8979713,14.48,M/W Ward,Maharashtra,1,2022-05-17,2022-05-17,high,Chembur,place/suburb,Chembur,2022,2022-04-13
"Ekta Meadows, Borivali East",Mumbai,north,operational,Devipada,yes,Mindspace Malad,5.22,red,0.39,yes,yes,True,Devipada,0.39,3-6km,0,Borivali,0.55,15.19,8,106,14,19.2267228,72.8619328,32.14,R/C Ward,Maharashtra,2,2022-06-08,2022-06-09,high,Borivali East,place/suburb,Borivali East,2022,2022-04-13
Ekta Nagar,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,4.2,blue,14.87,yes,no,False,Mahalaxmi,2.36,3-6km,1,Dockyard Road,0.06,13.78,20,32,3,18.9674951,72.843985,3.32,E Ward,Maharashtra,1,2022-06-22,2022-06-22,high,Ekta Nagar,place/neighbourhood,Ekta Nagar,2022,2022-04-13
"Ekta Parksville, Virar West",Mumbai,north,none,Kandarpada,no,Mindspace Malad,30.18,yellow,22.37,no,no,True,Kashigaon,21.04,6km+,0,Virar,0.67,40.83,3,37,6,19.4533576,72.8057966,57.3,Vasai-Virar,Maharashtra,1,2022-06-27,2022-06-27,low,Virar West,place/suburb,Virar West,2022,2022-04-13
"Ekta Trinity, Santacruz West",Mumbai,west,under_construction,Western Express Highway,yes,Bandra Kurla Complex,3.55,blue,4.04,yes,no,False,Santacruz,1.18,3-6km,10,Santa Cruz,0.57,2.77,22,60,9,19.0844004,72.8372899,16.19,H/W Ward,Maharashtra,1,2022-07-09,2022-07-09,high,Santacruz West,place/suburb,Santacruz West,2022,2022-04-13
"Everard Nagar Co Operative Housing Society, Sion East",Mumbai,south,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,2.7,blue,6.63,yes,no,False,Dharavi,1.69,0-3km,6,Sion,0.47,5.27,35,42,3,19.0428153,72.8653563,11.99,F/N Ward,Maharashtra,1,2022-06-13,2022-06-13,high,Sion East,place/suburb,Sion East,2022,2022-04-13
"Evershine Grandeur, Mindspace",Mumbai,east,none,Ghatkopar L1,yes,Vashi Business District,4.01,blue,12.79,no,no,True,CBD Belapur,3.91,3-6km,2,Juinagar,0.74,17.46,26,17,4,19.0523195,73.0241788,23.52,Juinagar,Maharashtra,1,2022-06-20,2022-06-20,low,Mindspace - Juinagar,landuse/commercial,Mindspace,2022,2022-04-13
"Evershine Millenium Paradise, Thakur Village, Kandivali East",Mumbai,north,operational,Magathane,yes,Mindspace Malad,4.63,red,1.24,yes,yes,True,Magathane,1.24,3-6km,0,Kandivali,2.62,13.36,5,24,7,19.2097189,72.8759248,30.42,R/S Ward,Maharashtra,2,2022-05-18,2022-06-21,high,Thakur Village,place/suburb,Thakur Village,2022,2022-04-13
Evershine Nagar,Mumbai,north,operational,Dahanukarwadi,yes,Mindspace Malad,1.17,yellow,1.73,yes,yes,True,Valnai-Meeth Chowky,0.68,0-3km,3,Malad,1.74,11.63,26,82,11,19.1907836,72.8326337,28.02,P/N Ward,Maharashtra,1,2022-07-07,2022-07-07,low,Evershine Nagar Road,highway/residential,Evershine Nagar,2022,2022-04-13
Film City,Mumbai,north,none,Aarey,yes,Nirlon Knowledge Park,3.29,red,2.57,no,no,True,Aarey,2.57,3-6km,7,Goregaon,3.49,8.57,9,24,0,19.1649188,72.8827878,25.63,P/N Ward,Maharashtra,2,2022-06-13,2022-06-13,low,Film City Ground,leisure/park,Film City,2022,2022-04-13
Film City Road,Mumbai,east,none,Aarey,yes,Nirlon Knowledge Park,3.9,red,3.54,no,no,True,Aarey JVLR,3.15,3-6km,7,Ram Mandir,4.3,8.1,4,11,0,19.1582019,72.8903556,25.07,P/N Ward,Maharashtra,1,2022-07-01,2022-07-01,low,Dadasaheb Phalke Chitranagari,amenity/studio,Film City Road,2022,2022-04-13
"Flora Heights, Andheri West",Mumbai,west,operational,Azad Nagar,yes,SEEPZ Andheri East,2.13,blue,1.14,yes,yes,True,Azad Nagar,1.14,0-3km,13,Andheri,1.34,4.28,33,91,15,19.1172495,72.833968,19.84,K/W Ward,Maharashtra,1,2022-06-24,2022-06-24,high,Andheri West,place/suburb,Andheri West,2022,2022-04-13
Friends Colony,Mumbai,east,none,Asalpha,yes,Bandra Kurla Complex,2.08,blue,2.51,no,no,True,Asalpha,2.51,0-3km,12,Lokmanya Tilak Terminus,1.33,2.5,17,31,13,19.0772176,72.882388,16.16,L Ward,Maharashtra,1,2022-06-27,2022-06-27,high,Friends Colony,place/locality,Friends Colony,2022,2022-04-13
