locality_name,city,zone,metro_status,nearest_metro_station,tech_park_proximity,nearest_tech_park,tech_park_km_approx,nearest_metro_line,nearest_metro_km,metro_access_sample,metro_access_verified,metro_flag_agrees,nearest_metro_station_today,nearest_metro_km_today,tech_park_band,it_park_count_5km,nearest_rail_station,rail_station_km,airport_km,school_count_2km,hospital_count_2km,retail_count_2km,latitude,longitude,distance_to_cbd_km,geo_district,geo_state,n_listings_2022,first_posted_on,last_posted_on,geocode_confidence,geocode_match_name,geocode_feature_type,geocode_query,reference_year,metro_status_asof
"Kenmore Apartment, Lokhandwala Complex",Mumbai,west,operational,Versova,yes,Nirlon Knowledge Park,3.29,blue,1.47,yes,yes,TRUE,Lower Oshiwara,0.79,3-6km,7,Jogeshwari (Harbour Line),2.62,7.13,28,67,21,19.1430985,72.8246055,22.75,K/W Ward,Maharashtra,1,5/31/2022,5/31/2022,high,Lokhandwala Complex,place/neighbourhood,Lokhandwala Complex,2022,4/13/2022
"Keshav Srishti, Bhandup West",Mumbai,east,none,Saki Naka,yes,Godrej One Vikhroli,4.64,blue,6.78,no,no,TRUE,Aarey JVLR,5.5,3-6km,6,Bhandup,0.55,9.73,20,42,4,19.1462636,72.9339461,25.29,S Ward,Maharashtra,1,7/7/2022,7/7/2022,high,Bhandup West,place/suburb,Bhandup West,2022,4/13/2022
Ketki Pada,Mumbai,north,under_construction,Aarey,yes,Nirlon Knowledge Park,1.77,red,2.88,yes,no,FALSE,Jogeshwari (East),1.16,0-3km,15,Jogeshwari (Harbour Line),1.79,6.04,8,37,2,19.144403,72.8661454,23.09,P/S Ward,Maharashtra,1,5/2/2022,5/2/2022,high,Ketli Pada,place/neighbourhood,Ketki Pada,2022,4/13/2022
Khar,Mumbai,west,under_construction,Western Express Highway,yes,Bandra Kurla Complex,3.42,blue,5.38,yes,no,FALSE,Santacruz,1.6,3-6km,7,Khar Road,0.81,3.65,44,71,11,19.0724575,72.8337068,14.86,H/W Ward,Maharashtra,1,5/18/2022,5/18/2022,high,Khar,place/suburb,Khar,2022,4/13/2022
Khar West,Mumbai,south,under_construction,Western Express Highway,yes,Bandra Kurla Complex,2.94,blue,6.22,yes,no,FALSE,Bandra Colony,1.43,0-3km,7,Bandra Terminus,0.33,4.01,46,66,10,19.0626563,72.8381745,13.78,H/W Ward,Maharashtra,12,5/14/2022,7/7/2022,medium,Western Railway Employee Colony Bandra West,landuse/residential,Khar West,2022,4/13/2022
Kings Circle,Mumbai,south,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,4.03,blue,8.09,yes,no,FALSE,Shitala Devi Mandir,1.82,3-6km,7,King's Circle,0,6.52,77,75,7,19.0316822,72.8577375,10.59,F/N Ward,Maharashtra,1,5/14/2022,5/14/2022,medium,King's Circle,railway/station,Kings Circle,2022,4/13/2022
"Kohinoor City Phase II, Holly Cross Church Chowk",Mumbai,east,operational,Asalpha,yes,Bandra Kurla Complex,2.32,blue,2.35,yes,yes,TRUE,Asalpha,2.35,0-3km,12,Lokmanya Tilak Terminus,1.17,2.7,19,32,14,19.0775039,72.8848272,16.28,L Ward,Maharashtra,1,6/27/2022,6/27/2022,low,Kohinoor City Phase 2,building/apartments,Kohinoor City Phase II,2022,4/13/2022
"Kolte Patil Jai Vijay, New Airport Colony",Mumbai,south,operational,Western Express Highway,yes,SEEPZ Andheri East,1.23,blue,1.22,yes,yes,TRUE,Sahar Road,1.03,0-3km,16,Vile Parle,1.37,1.8,29,76,5,19.1049416,72.8558663,18.6,K/E Ward,Maharashtra,1,7/9/2022,7/9/2022,medium,New Airport Colony,landuse/residential,New Airport Colony,2022,4/13/2022
Kurla,Mumbai,south,under_construction,Asalpha,yes,Bandra Kurla Complex,1.45,blue,3.83,yes,no,FALSE,Chembur,1.88,0-3km,9,Kurla,0,3.26,15,55,7,19.0652797,72.8793805,14.8,L Ward,Maharashtra,1,6/27/2022,6/27/2022,medium,Kurla,railway/station,Kurla,2022,4/13/2022
Kurla West,Mumbai,south,under_construction,Asalpha,yes,Bandra Kurla Complex,1.15,blue,3.64,yes,no,FALSE,Chembur,2.34,0-3km,10,Kurla,0.46,2.79,18,49,8,19.0686026,72.876583,15.07,L Ward,Maharashtra,2,4/28/2022,5/27/2022,high,Kurla West,place/suburb,Kurla West,2022,4/13/2022
"Kyraa Ariso Apartment, Chembur",Mumbai,east,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,3.65,blue,3.7,yes,no,FALSE,Diamond Garden,0.53,3-6km,5,VNP & RC Marg Junction,0.46,5.39,32,81,13,19.054818,72.8979713,14.48,M/W Ward,Maharashtra,1,5/22/2022,5/22/2022,high,Chembur,place/suburb,Chembur,2022,4/13/2022
"L Nagpal Ruby, Turner Road",Mumbai,south,under_construction,Western Express Highway,yes,Bandra Kurla Complex,3.3,blue,6.66,yes,no,FALSE,Bandra Colony,1.88,3-6km,7,Bandra,0.71,4.48,47,58,10,19.0593654,72.8353675,13.41,Bandra West,Maharashtra,1,7/8/2022,7/8/2022,low,Gurunanak Marg,highway/secondary,Turner Road,2022,4/13/2022
"L&T Emerald Isle, Chandivali",Mumbai,east,operational,Saki Naka,yes,Hiranandani Business Park Powai,1.44,blue,0.93,yes,yes,TRUE,Saki Naka,0.93,0-3km,19,Ghatkopar,2.98,3.94,14,36,13,19.1091482,72.8945793,19.94,L Ward,Maharashtra,1,5/13/2022,5/13/2022,high,Chandivali,place/suburb,Chandivali,2022,4/13/2022
"L&T Emerald Isle, Powai",Mumbai,east,none,Saki Naka,yes,Hiranandani Business Park Powai,0.89,blue,2.65,no,no,TRUE,Saki Naka,2.65,0-3km,16,Vikhroli,2.32,5.65,23,17,20,19.1187195,72.9073476,21.39,S Ward,Maharashtra,6,5/27/2022,7/9/2022,high,Powai,place/suburb,Powai,2022,4/13/2022
"Lady Ratan Tower, Worli",Mumbai,south,under_construction,Western Express Highway,yes,Lower Parel Business District,1.63,blue,12.27,yes,no,FALSE,Worli,0.38,0-3km,4,Prabhadevi,1.95,9.92,31,22,6,19.0117388,72.8178706,8.32,G/S Ward,Maharashtra,1,6/27/2022,6/27/2022,high,Worli,place/suburb,Worli,2022,4/13/2022
"Lake Bloom, Powai",Mumbai,east,none,Saki Naka,yes,Hiranandani Business Park Powai,0.89,blue,2.65,no,no,TRUE,Saki Naka,2.65,0-3km,16,Vikhroli,2.32,5.65,23,17,20,19.1187195,72.9073476,21.39,S Ward,Maharashtra,1,6/10/2022,6/10/2022,high,Powai,place/suburb,Powai,2022,4/13/2022
"Lake Florence, Powai",Mumbai,east,none,Saki Naka,yes,Hiranandani Business Park Powai,0.89,blue,2.65,no,no,TRUE,Saki Naka,2.65,0-3km,16,Vikhroli,2.32,5.65,23,17,20,19.1187195,72.9073476,21.39,S Ward,Maharashtra,1,7/6/2022,7/6/2022,high,Powai,place/suburb,Powai,2022,4/13/2022
"Lake Homes, Powai",Mumbai,east,none,Saki Naka,yes,Hiranandani Business Park Powai,0.89,blue,2.65,no,no,TRUE,Saki Naka,2.65,0-3km,16,Vikhroli,2.32,5.65,23,17,20,19.1187195,72.9073476,21.39,S Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Powai,place/suburb,Powai,2022,4/13/2022
"Lake Primrose, Chandivali",Mumbai,east,operational,Saki Naka,yes,Hiranandani Business Park Powai,1.44,blue,0.93,yes,yes,TRUE,Saki Naka,0.93,0-3km,19,Ghatkopar,2.98,3.94,14,36,13,19.1091482,72.8945793,19.94,L Ward,Maharashtra,1,5/27/2022,5/27/2022,high,Chandivali,place/suburb,Chandivali,2022,4/13/2022
"Lake Primrose, Powai",Mumbai,east,none,Saki Naka,yes,Hiranandani Business Park Powai,0.89,blue,2.65,no,no,TRUE,Saki Naka,2.65,0-3km,16,Vikhroli,2.32,5.65,23,17,20,19.1187195,72.9073476,21.39,S Ward,Maharashtra,1,6/20/2022,6/20/2022,high,Powai,place/suburb,Powai,2022,4/13/2022
"Lake Superior, Powai",Mumbai,east,none,Saki Naka,yes,Hiranandani Business Park Powai,0.89,blue,2.65,no,no,TRUE,Saki Naka,2.65,0-3km,16,Vikhroli,2.32,5.65,23,17,20,19.1187195,72.9073476,21.39,S Ward,Maharashtra,1,6/12/2022,6/12/2022,high,Powai,place/suburb,Powai,2022,4/13/2022
"Laksharia Tower, Andheri West",Mumbai,west,operational,Azad Nagar,yes,SEEPZ Andheri East,2.13,blue,1.14,yes,yes,TRUE,Azad Nagar,1.14,0-3km,13,Andheri,1.34,4.28,33,91,15,19.1172495,72.833968,19.84,K/W Ward,Maharashtra,1,6/27/2022,6/27/2022,high,Andheri West,place/suburb,Andheri West,2022,4/13/2022
"Lakshchandi Height, Goregaon East",Mumbai,north,operational,Aarey,yes,Nirlon Knowledge Park,1.62,red,0.37,yes,yes,TRUE,Aarey,0.37,0-3km,5,Goregaon,0.77,8.83,14,72,6,19.1692623,72.8552548,25.71,P/S Ward,Maharashtra,1,6/13/2022,6/13/2022,high,Goregaon East,place/suburb,Goregaon East,2022,4/13/2022
Lal Baug,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,1.65,blue,12.45,yes,no,FALSE,Science Centre,2.23,0-3km,2,Mint Colony,0.14,10.96,25,38,5,18.9935288,72.8424069,6.13,Parel,Maharashtra,2,6/3/2022,6/20/2022,high,Lal Baug,place/suburb,Lal Baug,2022,4/13/2022
"Leo Ratnakar, Mahavir Nagar",Mumbai,north,operational,Kandivali (West),yes,Mindspace Malad,3.46,yellow,0.12,yes,yes,TRUE,Kandivali (West),0.12,3-6km,0,Kandivali,1.89,14.13,25,74,8,19.2149882,72.8378643,30.71,R/S Ward,Maharashtra,1,6/5/2022,6/5/2022,high,Mahavir Nagar,place/quarter,Mahavir Nagar,2022,4/13/2022
"Llyod Estate, Wadala",Mumbai,south,none,Ghatkopar L1,yes,Bandra Kurla Complex,4.6,blue,7.46,no,no,TRUE,Dharavi,3.49,3-6km,4,Bhakti Park,0.29,7.16,16,16,0,19.0269192,72.8759337,10.69,F/N Ward,Maharashtra,1,6/23/2022,6/23/2022,high,Wadala,place/suburb,Wadala,2022,4/13/2022
Lodha Ajuro tower lalbag,Mumbai,unknown,unknown,unknown,unknown,unknown,,unknown,,unknown,unknown,,unknown,,unknown,,unknown,,,,,,,,,,,1,5/18/2022,5/18/2022,none,,,,2022,4/13/2022
"Lodha Altia, Wadala East",Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,2.97,blue,9.65,yes,no,FALSE,Dadar,1.88,0-3km,3,Dadar East,0.3,8.3,60,64,7,19.0158783,72.8550732,8.82,F/N Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Wadala Village,place/neighbourhood,Wadala East,2022,4/13/2022
"Lodha Azzuro , Parel",Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,1.42,blue,11.1,yes,no,FALSE,Siddhivinayak Temple,1.47,0-3km,3,Parel,0.52,9.34,64,73,5,19.0084268,72.842505,7.78,F/S Ward,Maharashtra,2,5/31/2022,6/23/2022,high,Parel,place/suburb,Parel,2022,4/13/2022
"Lodha Bel Air, Jogeshwari West",Mumbai,west,operational,Andheri (West),yes,Nirlon Knowledge Park,2.65,yellow,1.02,yes,yes,TRUE,Lower Oshiwara,0.76,0-3km,14,Jogeshwari (Western Line),1.21,5.8,40,82,22,19.136394,72.8373817,21.97,K/W Ward,Maharashtra,1,6/28/2022,6/28/2022,high,Jogeshwari West,place/suburb,Jogeshwari West,2022,4/13/2022
